Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 11:58:25
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0609 0.0609 0.0967 0.0696 0.0628
0.1000 0.0653 0.0637 0.0991 0.0722 0.0643
0.2000 0.1988 0.1740 0.2019 0.1834 0.1360
0.3000 0.3739 0.3214 0.3377 0.3323 0.2314
0.4000 0.5629 0.4826 0.4844 0.4921 0.3351
0.5000 0.7360 0.6289 0.6203 0.6407 0.4303
0.6000 0.8613 0.7342 0.7166 0.7462 0.4994
0.7000 1.0460 0.8903 0.8754 0.9041 0.6037
0.8000 1.2450 1.0572 1.0423 1.0734 0.7210
0.9000 1.4494 1.2297 1.2011 1.2472 0.8685
1.0000 1.6618 1.4078 1.3704 1.4251 1.2556
1.1000 1.8771 1.5879 2.1568 1.6046 1.1254
1.2000 2.0917 1.7682 2.3438 1.7883 1.1696
1.3000 2.3072 1.9493 2.3438 1.9716 1.2845
1.4000 2.5241 2.1323 2.3533 2.1564 1.4016
1.5000 2.7432 2.3164 2.3593 2.3415 1.5200
1.6000 2.9632 2.5021 2.3631 2.4147 1.6397
1.7000 3.1790 2.6828 2.3702 2.4562 1.7572
1.8000 3.3996 2.8676 2.3830 2.5170 1.8770
1.9000 3.6199 3.0535 2.4031 2.5965 1.9963
2.0000 3.8373 3.2347 2.4589 2.6477 2.1147
2.1000 4.0571 3.4205 2.5473 2.7048 2.2337
2.2000 4.2772 3.6057 2.5898 2.7754 2.3524
2.3000 4.4998 3.7920 2.6909 2.8417 2.3960
2.4000 4.7233 3.9806 2.7929 2.9342 2.4136
2.5000 4.9493 4.1692 2.9183 3.0542 2.4120
2.6000 5.0000 4.3585 3.2663 3.6631 2.4301
2.7000 0.0000 4.5483 3.5964 4.5330 2.5353
2.8000 0.0000 4.7382 4.1512 4.7790 2.7009
2.9000 0.0000 4.9267 4.3933 4.9686 2.7679
3.0000 0.0000 5.0000 4.7256 5.0000 2.8459
3.1000 0.0000 0.0000 4.9164 0.0000 2.9319
3.2000 0.0000 0.0000 5.0000 0.0000 3.0029
3.3000 0.0000 0.0000 0.0000 0.0000 3.2593
3.4000 0.0000 0.0000 0.0000 0.0000 3.5605
3.5000 0.0000 0.0000 0.0000 0.0000 3.7357
3.6000 0.0000 0.0000 0.0000 0.0000 4.0273
3.7000 0.0000 0.0000 0.0000 0.0000 4.1719
3.8000 0.0000 0.0000 0.0000 0.0000 4.3024
3.9000 0.0000 0.0000 0.0000 0.0000 4.4254
4.0000 0.0000 0.0000 0.0000 0.0000 4.5500
4.1000 0.0000 0.0000 0.0000 0.0000 4.6747
4.2000 0.0000 0.0000 0.0000 0.0000 4.8004
4.3000 0.0000 0.0000 0.0000 0.0000 4.8908
4.4000 0.0000 0.0000 0.0000 0.0000 5.0000
4.5000 0.0000 0.0000 0.0000 0.0000 0.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
