Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-27 - 13:56:24
  LEDv    air   0.02  100.0   20.0  800.0 
0.0000 0.0735 0.0735 0.0845 0.0801 0.0864
0.1000 0.0772 0.0772 0.0877 0.0839 0.0883
0.2000 0.2086 0.1911 0.1909 0.1980 0.1587
0.3000 0.3819 0.3418 0.3273 0.3461 0.2511
0.4000 0.5684 0.5032 0.4757 0.5059 0.3521
0.5000 0.7390 0.6496 0.6100 0.6512 0.4445
0.6000 0.8628 0.7574 0.7085 0.7584 0.5114
0.7000 1.0455 0.9156 0.8524 0.9149 0.6099
0.8000 1.2404 1.0845 1.0073 1.0834 0.7156
0.9000 1.4451 1.2595 1.1671 1.2572 0.8250
1.0000 1.6518 1.4376 1.3320 1.4358 0.9375
1.1000 1.8622 1.6205 1.4981 1.6159 1.0505
1.2000 2.0741 1.8026 1.6645 1.7972 1.1643
1.3000 2.2859 1.9873 1.8316 1.9793 1.2787
1.4000 2.5008 2.1714 2.0002 2.1627 1.3939
1.5000 2.7165 2.3584 2.1704 2.3473 1.5106
1.6000 2.9318 2.5464 2.3413 2.5325 1.6278
1.7000 3.1444 2.7296 2.5083 2.7157 1.7433
1.8000 3.3619 2.9161 2.6785 2.9014 1.8601
1.9000 3.5781 3.1037 2.8493 3.0873 1.9767
2.0000 3.7915 3.2885 3.0189 3.2704 2.0921
2.1000 4.0084 3.4757 3.1895 3.4572 2.2084
2.2000 4.2262 3.6624 3.3607 3.6416 2.3257
2.3000 4.4431 3.8528 3.5325 3.8295 2.4441
2.4000 4.6613 4.0429 3.7072 4.0177 2.5629
2.5000 4.8816 4.2331 3.8820 4.2065 2.6805
2.6000 5.0000 4.4248 4.0559 4.3955 2.8000
2.7000 0.0000 4.6166 4.2306 4.5875 2.9198
2.8000 0.0000 4.8070 4.4066 4.7758 3.0399
2.9000 0.0000 4.9986 4.5804 4.9659 3.1590
3.0000 0.0000 5.0000 4.7538 5.0000 3.2781
3.1000 0.0000 0.0000 4.9267 0.0000 3.3965
3.2000 0.0000 0.0000 5.0000 0.0000 3.5137
3.3000 0.0000 0.0000 0.0000 0.0000 3.6326
3.4000 0.0000 0.0000 0.0000 0.0000 3.7503
3.5000 0.0000 0.0000 0.0000 0.0000 3.8684
3.6000 0.0000 0.0000 0.0000 0.0000 3.9880
3.7000 0.0000 0.0000 0.0000 0.0000 4.1070
3.8000 0.0000 0.0000 0.0000 0.0000 4.2277
3.9000 0.0000 0.0000 0.0000 0.0000 4.3483
4.0000 0.0000 0.0000 0.0000 0.0000 4.4700
4.1000 0.0000 0.0000 0.0000 0.0000 4.5918
4.2000 0.0000 0.0000 0.0000 0.0000 4.7144
4.3000 0.0000 0.0000 0.0000 0.0000 4.8380
4.4000 0.0000 0.0000 0.0000 0.0000 4.9613
4.5000 0.0000 0.0000 0.0000 0.0000 5.0000
4.6000 0.0000 0.0000 0.0000 0.0000 0.0000
4.7000 0.0000 0.0000 0.0000 0.0000 0.0000
4.8000 0.0000 0.0000 0.0000 0.0000 0.0000
4.9000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 0.0000 0.0000 0.0000 0.0000 0.0000
