Calibration file for turbity fibre optics system
Date and Time of Calibration: 2019-11-28 - 10:42:55
   air  empty   0.02  100.0   20.0  800.0   LEDv 
0.0591 0.0591 0.0591 0.0592 0.0591 0.0592 0.0000
0.2178 0.1825 0.1680 0.1609 0.1677 0.1269 0.2000
0.6366 0.5066 0.4621 0.4318 0.4576 0.3100 0.4000
0.9742 0.7739 0.7012 0.6521 0.6949 0.4596 0.6000
1.4146 1.1171 1.0106 0.9349 0.9992 0.6524 0.8000
1.8880 1.4900 1.3453 1.2450 1.3263 0.8599 1.0000
2.3766 1.8727 1.6894 1.5600 1.6685 1.0752 1.2000
2.8716 2.2588 2.0359 1.8829 2.0119 1.2924 1.4000
3.3719 2.6485 2.3894 2.2070 2.3588 1.5114 1.6000
3.8680 3.0370 2.7377 2.5289 2.7052 1.7305 1.8000
4.3668 3.4275 3.0899 2.8531 3.0506 1.9478 2.0000
4.8701 3.8212 3.4418 3.1773 3.3987 2.1700 2.2000
5.0000 4.2142 3.7985 3.5061 3.7498 2.3924 2.4000
0.0000 4.6180 4.1590 3.8382 4.1051 2.6174 2.6000
0.0000 5.0000 4.5206 4.1712 4.4629 2.8418 2.8000
0.0000 0.0000 4.8779 4.5017 4.8161 3.0686 3.0000
0.0000 0.0000 5.0000 4.8295 5.0000 3.2904 3.2000
0.0000 0.0000 0.0000 5.0000 0.0000 3.5143 3.4000
0.0000 0.0000 0.0000 0.0000 0.0000 3.7392 3.6000
0.0000 0.0000 0.0000 0.0000 0.0000 3.9651 3.8000
0.0000 0.0000 0.0000 0.0000 0.0000 4.1933 4.0000
0.0000 0.0000 0.0000 0.0000 0.0000 4.4237 4.2000
0.0000 0.0000 0.0000 0.0000 0.0000 4.6571 4.4000
0.0000 0.0000 0.0000 0.0000 0.0000 4.8869 4.6000
0.0000 0.0000 0.0000 0.0000 0.0000 5.0000 4.8000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 5.0000
